resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,run_name,spec_hash,simulation_hash,tile_class,reason
hires,2048,2048,128,128,11,64,1024,50.0,is,run_224d63f60b04,b4aa3d094c37,224d63f60b04,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
720p,1280,720,128,128,11,128,256,200.0,is,run_2a6ec000b3c8,39b710fa54b8,2a6ec000b3c8,bottom_edge,SCALE-Sim input-stationary demand generation is pathological for large-kernel 128-wide tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
720p,1280,720,128,128,11,32,1024,800.0,is,run_45213a459c6e,0c345a7e14e6,45213a459c6e,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,32,1024,800.0,is,run_45213a459c6e,4badbe1fd035,45213a459c6e,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
hires,2048,2048,128,128,11,32,1024,800.0,is,run_45213a459c6e,a831ab6df9a2,45213a459c6e,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,32,256,800.0,is,run_39baf7c5002d,931d5519e903,39baf7c5002d,bottom_edge,SCALE-Sim input-stationary demand generation is pathological for large-kernel 128-wide tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
720p,1280,720,128,128,11,128,1024,50.0,is,run_be9dbc160739,2fa00a2f432b,be9dbc160739,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,128,1024,50.0,is,run_be9dbc160739,99a8eb7352df,be9dbc160739,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
hires,2048,2048,128,128,11,128,1024,50.0,is,run_be9dbc160739,8084060d2b16,be9dbc160739,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,64,256,50.0,is,run_290db3aaba6b,5f8e637bd258,290db3aaba6b,bottom_edge,SCALE-Sim input-stationary demand generation is pathological for large-kernel 128-wide tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,128,256,800.0,is,run_cd6789b16aa5,e14b156bc050,cd6789b16aa5,bottom_edge,SCALE-Sim input-stationary demand generation is pathological for large-kernel 128-wide tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
720p,1280,720,128,128,11,128,1024,800.0,os,run_807b64589559,3bcd7514c130,807b64589559,full,SCALE-Sim output-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles on 128x128 arrays; this case is severely underutilized and excluded from simulator execution.
1080p,1920,1080,128,128,11,128,1024,800.0,os,run_807b64589559,bf7a49bc59b1,807b64589559,full,SCALE-Sim output-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles on 128x128 arrays; this case is severely underutilized and excluded from simulator execution.
hires,2048,2048,128,128,11,128,1024,800.0,os,run_807b64589559,39f8610af606,807b64589559,full,SCALE-Sim output-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles on 128x128 arrays; this case is severely underutilized and excluded from simulator execution.
720p,1280,720,128,128,11,32,256,50.0,is,run_587570fb9faf,2143611054ff,587570fb9faf,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,32,256,50.0,is,run_587570fb9faf,c63444807290,587570fb9faf,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
hires,2048,2048,128,128,11,32,256,50.0,is,run_587570fb9faf,f0265095e6ce,587570fb9faf,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
720p,1280,720,128,128,11,64,256,800.0,is,run_ce4004d9b615,f9bbf622feff,ce4004d9b615,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,64,256,800.0,is,run_ce4004d9b615,701fc62e1176,ce4004d9b615,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
hires,2048,2048,128,128,11,64,256,800.0,is,run_ce4004d9b615,4309c2a970e9,ce4004d9b615,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,32,256,50.0,is,run_2376f032cc62,9ab456ed24f7,2376f032cc62,bottom_edge,SCALE-Sim input-stationary demand generation is pathological for large-kernel 128-wide tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
720p,1280,720,128,128,11,128,256,800.0,is,run_8a7b4448becc,682842323b14,8a7b4448becc,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,128,256,800.0,is,run_8a7b4448becc,842225827c93,8a7b4448becc,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
hires,2048,2048,128,128,11,128,256,800.0,is,run_8a7b4448becc,01edf28651bf,8a7b4448becc,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
720p,1280,720,128,128,11,32,1024,200.0,is,run_14b02c2dba08,3b0789928d37,14b02c2dba08,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,32,1024,200.0,is,run_14b02c2dba08,2a113fefa504,14b02c2dba08,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
hires,2048,2048,128,128,11,32,1024,200.0,is,run_14b02c2dba08,78f16c7cace4,14b02c2dba08,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
720p,1280,720,128,128,11,16,256,800.0,is,run_e7bca15d2987,e06233e5fc35,e7bca15d2987,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,16,256,800.0,is,run_e7bca15d2987,9e67409aec8e,e7bca15d2987,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
hires,2048,2048,128,128,11,16,256,800.0,is,run_e7bca15d2987,2692420ab887,e7bca15d2987,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
720p,1280,720,128,128,11,16,256,50.0,is,run_12ac03da7ffd,465110ab7d1c,12ac03da7ffd,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,16,256,50.0,is,run_12ac03da7ffd,6f59e81a1566,12ac03da7ffd,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
hires,2048,2048,128,128,11,16,256,50.0,is,run_12ac03da7ffd,eefda67e8e6f,12ac03da7ffd,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,7,32,256,800.0,is,run_f7420172b6c6,e7d07ae84dfd,f7420172b6c6,bottom_edge,SCALE-Sim input-stationary demand generation is pathological for large-kernel 128-wide tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
720p,1280,720,128,128,11,128,1024,200.0,os,run_4a73a70893c8,521e2aab18ea,4a73a70893c8,full,SCALE-Sim output-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles on 128x128 arrays; this case is severely underutilized and excluded from simulator execution.
1080p,1920,1080,128,128,11,128,1024,200.0,os,run_4a73a70893c8,30687884254a,4a73a70893c8,full,SCALE-Sim output-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles on 128x128 arrays; this case is severely underutilized and excluded from simulator execution.
hires,2048,2048,128,128,11,128,1024,200.0,os,run_4a73a70893c8,461966606626,4a73a70893c8,full,SCALE-Sim output-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles on 128x128 arrays; this case is severely underutilized and excluded from simulator execution.
720p,1280,720,128,128,11,8,256,800.0,is,run_cd589d29d9e1,dc3b66e6e6b9,cd589d29d9e1,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,8,256,800.0,is,run_cd589d29d9e1,d924a9d3afbd,cd589d29d9e1,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
hires,2048,2048,128,128,11,8,256,800.0,is,run_cd589d29d9e1,c662af12edcf,cd589d29d9e1,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,7,32,256,50.0,is,run_5b2da5b69c68,92e0de5de9bb,5b2da5b69c68,bottom_edge,SCALE-Sim input-stationary demand generation is pathological for large-kernel 128-wide tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
720p,1280,720,128,128,11,32,1024,50.0,is,run_2e0ec328cf4c,c34baf4d276c,2e0ec328cf4c,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,32,1024,50.0,is,run_2e0ec328cf4c,357216ae9509,2e0ec328cf4c,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
hires,2048,2048,128,128,11,32,1024,50.0,is,run_2e0ec328cf4c,773bea7266df,2e0ec328cf4c,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
720p,1280,720,128,128,11,16,1024,200.0,is,run_fcf705c03a7e,c9d3924b8a43,fcf705c03a7e,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,16,1024,200.0,is,run_fcf705c03a7e,8de9c6317fb5,fcf705c03a7e,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
hires,2048,2048,128,128,11,16,1024,200.0,is,run_fcf705c03a7e,c3e53fbc8a9e,fcf705c03a7e,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
720p,1280,720,128,128,11,128,256,200.0,os,run_96e7ffc12a74,b5c2819fa8f9,96e7ffc12a74,full,SCALE-Sim output-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles on 128x128 arrays; this case is severely underutilized and excluded from simulator execution.
1080p,1920,1080,128,128,11,128,256,200.0,os,run_96e7ffc12a74,46a55e7bf27b,96e7ffc12a74,full,SCALE-Sim output-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles on 128x128 arrays; this case is severely underutilized and excluded from simulator execution.
hires,2048,2048,128,128,11,128,256,200.0,os,run_96e7ffc12a74,cb5272add8e4,96e7ffc12a74,full,SCALE-Sim output-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles on 128x128 arrays; this case is severely underutilized and excluded from simulator execution.
720p,1280,720,128,128,11,128,256,800.0,os,run_b6bda5dc9693,976822c4f4a1,b6bda5dc9693,full,SCALE-Sim output-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles on 128x128 arrays; this case is severely underutilized and excluded from simulator execution.
1080p,1920,1080,128,128,11,128,256,800.0,os,run_b6bda5dc9693,f2db383519ab,b6bda5dc9693,full,SCALE-Sim output-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles on 128x128 arrays; this case is severely underutilized and excluded from simulator execution.
hires,2048,2048,128,128,11,128,256,800.0,os,run_b6bda5dc9693,10c1587777f6,b6bda5dc9693,full,SCALE-Sim output-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles on 128x128 arrays; this case is severely underutilized and excluded from simulator execution.
1080p,1920,1080,128,128,11,16,256,50.0,is,run_9eaee686cb04,e5c1db5e4c84,9eaee686cb04,bottom_edge,SCALE-Sim input-stationary demand generation is pathological for large-kernel 128-wide tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
720p,1280,720,128,128,11,64,1024,200.0,is,run_bb64521d7fd5,86f035df0c09,bb64521d7fd5,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,64,1024,200.0,is,run_bb64521d7fd5,51c879500b1b,bb64521d7fd5,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
hires,2048,2048,128,128,11,64,1024,200.0,is,run_bb64521d7fd5,b8310c2cfc40,bb64521d7fd5,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
720p,1280,720,128,128,11,128,1024,200.0,is,run_ed9cdb6ae61e,09afe172bc99,ed9cdb6ae61e,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,128,1024,200.0,is,run_ed9cdb6ae61e,394045997da8,ed9cdb6ae61e,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
hires,2048,2048,128,128,11,128,1024,200.0,is,run_ed9cdb6ae61e,72d620b6645c,ed9cdb6ae61e,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
720p,1280,720,128,128,11,128,256,200.0,is,run_cefa2fb3b08b,ed18c0bd8505,cefa2fb3b08b,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,128,256,200.0,is,run_cefa2fb3b08b,864d5be54abf,cefa2fb3b08b,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
hires,2048,2048,128,128,11,128,256,200.0,is,run_cefa2fb3b08b,c463e44da134,cefa2fb3b08b,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,7,32,256,200.0,is,run_8f23e0a81920,39398de51cb2,8f23e0a81920,bottom_edge,SCALE-Sim input-stationary demand generation is pathological for large-kernel 128-wide tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
720p,1280,720,128,128,11,32,256,800.0,is,run_39288dfaf56a,01411ce9179f,39288dfaf56a,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,32,256,800.0,is,run_39288dfaf56a,838a809e1e52,39288dfaf56a,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
hires,2048,2048,128,128,11,32,256,800.0,is,run_39288dfaf56a,c0144e99e27b,39288dfaf56a,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
720p,1280,720,128,128,11,128,1024,800.0,is,run_330b83e9cd52,d6d304856ec2,330b83e9cd52,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,128,1024,800.0,is,run_330b83e9cd52,dc7735089eab,330b83e9cd52,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
hires,2048,2048,128,128,11,128,1024,800.0,is,run_330b83e9cd52,b5b7cd980b2c,330b83e9cd52,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
720p,1280,720,128,128,11,128,256,50.0,is,run_9fef47b1f65d,472224663bcc,9fef47b1f65d,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,128,256,50.0,is,run_9fef47b1f65d,91fa10255667,9fef47b1f65d,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
hires,2048,2048,128,128,11,128,256,50.0,is,run_9fef47b1f65d,69d2af1924b4,9fef47b1f65d,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
720p,1280,720,128,128,11,8,256,50.0,is,run_424f388382ed,40c571dabbac,424f388382ed,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,8,256,50.0,is,run_424f388382ed,ab724fb28a20,424f388382ed,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
hires,2048,2048,128,128,11,8,256,50.0,is,run_424f388382ed,f30b54fd399d,424f388382ed,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
720p,1280,720,128,128,11,16,1024,800.0,is,run_e4e4e2939313,65db05909a06,e4e4e2939313,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,16,1024,800.0,is,run_e4e4e2939313,18580a72b67f,e4e4e2939313,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
hires,2048,2048,128,128,11,16,1024,800.0,is,run_e4e4e2939313,b8dc486f9cce,e4e4e2939313,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,16,256,200.0,is,run_4e6090edfe2f,58e4e154b102,4e6090edfe2f,bottom_edge,SCALE-Sim input-stationary demand generation is pathological for large-kernel 128-wide tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,8,256,800.0,is,run_2a22baab4558,37bfa3bd39e6,2a22baab4558,bottom_edge,SCALE-Sim input-stationary demand generation is pathological for large-kernel 128-wide tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,64,256,200.0,is,run_6c475b49286b,20737843a53f,6c475b49286b,bottom_edge,SCALE-Sim input-stationary demand generation is pathological for large-kernel 128-wide tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
720p,1280,720,128,128,11,128,256,50.0,is,run_fa80b307a3c4,fadb2cec43c9,fa80b307a3c4,bottom_edge,SCALE-Sim input-stationary demand generation is pathological for large-kernel 128-wide tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,128,256,200.0,is,run_488b503565b5,0b3d1c491a17,488b503565b5,bottom_edge,SCALE-Sim input-stationary demand generation is pathological for large-kernel 128-wide tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
720p,1280,720,128,128,11,128,256,800.0,is,run_9179f74a2276,f62061fd9d16,9179f74a2276,bottom_edge,SCALE-Sim input-stationary demand generation is pathological for large-kernel 128-wide tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
720p,1280,720,128,128,11,128,1024,50.0,os,run_bb3d3787962e,85dc0c1a8657,bb3d3787962e,full,SCALE-Sim output-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles on 128x128 arrays; this case is severely underutilized and excluded from simulator execution.
1080p,1920,1080,128,128,11,128,1024,50.0,os,run_bb3d3787962e,2b20979d015a,bb3d3787962e,full,SCALE-Sim output-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles on 128x128 arrays; this case is severely underutilized and excluded from simulator execution.
hires,2048,2048,128,128,11,128,1024,50.0,os,run_bb3d3787962e,88533eb501b0,bb3d3787962e,full,SCALE-Sim output-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles on 128x128 arrays; this case is severely underutilized and excluded from simulator execution.
720p,1280,720,128,128,11,128,256,50.0,os,run_c7eac60cfea1,4928c23af91a,c7eac60cfea1,full,SCALE-Sim output-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles on 128x128 arrays; this case is severely underutilized and excluded from simulator execution.
1080p,1920,1080,128,128,11,128,256,50.0,os,run_c7eac60cfea1,cdf5e9ce288a,c7eac60cfea1,full,SCALE-Sim output-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles on 128x128 arrays; this case is severely underutilized and excluded from simulator execution.
hires,2048,2048,128,128,11,128,256,50.0,os,run_c7eac60cfea1,8598f0c88aa4,c7eac60cfea1,full,SCALE-Sim output-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles on 128x128 arrays; this case is severely underutilized and excluded from simulator execution.
720p,1280,720,128,128,11,16,1024,50.0,is,run_2c8f84abd893,92cae8d2e22e,2c8f84abd893,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
